diff,time,res,mal,norm_score
41.634166697648325,3,0,61.979860065698894,42.883191698577775
35.660505385232476,8,1,47.58801035382919,37.800135708346424
35.121876899432955,4,1,19.14104394101174,36.17553320641594
39.36739742035622,12,0,60.074551761078276,40.54841934296691
66.711671439865,2,1,60.388068503920174,70.7143717262569
55.030818999839994,5,0,47.357146935564835,56.68174356983519
68.12115921743276,12,1,39.576230206492454,72.20842877047873
47.35413239118414,7,1,41.73680465751826,50.195380334655184
36.24265717127744,7,0,26.688613115369787,35.15537745613912
57.31665557180456,8,0,16.926600613231358,55.59715590465042
45.443743464388525,6,1,37.580851329270885,48.17036807225184
50.37712898375369,12,0,74.47667638021441,51.888442853266305
41.221711645576704,11,0,61.56124421943729,42.458362994944004
65.22564780446157,3,0,37.8847163700797,67.18241723859542
77.59691815532513,5,0,2.427053111924979,75.26901061066538
47.016233086010274,7,0,25.587784509183624,45.605746093429964
64.27934239396785,4,0,42.244801733403904,66.20772266578689
70.33539506097505,2,1,12.70249720126644,72.4454569128043
56.13552673662345,9,1,28.67702294517105,57.81959253872215
69.60398882830356,6,1,6.545992112263438,71.69210849315266
79.17333583055347,11,0,39.51564224165819,81.54853590547008
37.010558750440666,3,1,57.912633938451044,39.23119227546711
61.47011182100258,2,1,5.997182211497076,63.31421517563266
37.460098296120094,2,1,13.604957127225969,38.583901245003695
37.627420701930426,6,0,17.62275200799931,36.49859808087251
55.47071604291676,9,1,65.20971872375927,58.79895900549177
43.83541335012663,7,1,14.864888312022604,45.15047575063043
60.05259146027141,5,0,28.352538292912424,58.25101371646326
51.832959274824546,2,0,16.74633690244034,50.27797049657981
39.92006657608411,6,1,13.989666502224512,41.117668573366636
66.18372798907744,6,0,4.494345895704901,64.19821614940511
73.12926489565118,3,0,60.23958274987548,75.32314284252071
49.61817326150043,10,0,74.33403475707586,51.106718459345444
57.64034285167524,4,0,15.7435297626069,55.911132566124984
78.47620354404455,12,1,11.00619822595188,80.83048965036589
52.188454832827894,2,1,19.73552280427398,53.75410847781273
39.6127209339645,6,0,43.17183505004788,40.80110256198344
45.71826623953972,9,0,21.953033549853295,44.34671825235353
44.17597180505583,3,1,14.525263515915904,45.5012509592075
38.00296584077675,2,1,24.980161202850816,39.14305481600005
62.23539980349396,5,0,48.06242594461808,64.10246179759878
73.23210182877571,4,0,10.166173016743901,71.03513877391244
55.133580882691604,6,0,51.11231667787387,56.78758830917235
51.26223803090157,11,1,22.645197621939083,52.80010517182862
68.26540638791907,5,1,48.87825108998719,72.36133077119422
48.70546212167756,8,0,4.470784586632953,47.244298258027236
43.99809782154696,9,0,32.90622803051327,42.67815488690056
70.07086311955739,9,1,22.64367640589711,72.1729890131441
49.45114887100357,4,0,24.992666012902635,47.96761440487346
65.08070936219347,7,0,45.388121533513115,67.03313064305928
67.40391935373262,12,0,60.20553371495304,69.4260369343446
44.08062292846094,6,1,55.19094954402492,46.7254603041686
43.360232419858164,6,0,42.08811976600505,44.66103939245391
52.188505126044184,11,1,41.82041575286472,55.319815433606834
61.1829019307973,6,0,0.09096411072255506,59.34741487287338
43.47227445649891,7,0,46.85621302074315,44.776442690193875
57.73432912502474,6,0,43.17706893563574,59.46635899877548
70.1956431464916,3,0,17.649247946473142,68.08977385209685
40.843302143447936,12,1,72.54373115788981,43.29390027205481
45.06930059193586,9,1,3.4798954459399485,46.42137960969393
57.88273009145078,3,0,61.981281247483885,59.6192119941943
73.9283665834899,10,1,8.78255860139277,76.1462175809946
42.21418989915733,9,1,55.16721570173426,44.747041293106776
72.95532127542998,3,1,65.51330272526047,77.33264055195578
69.41506857349896,6,1,46.958284075263194,73.57997268790889
50.87077676397128,3,0,44.9832148013797,52.39690006689042
66.43513512007071,9,1,52.9634785490705,70.42124322727496
38.845194264498865,11,0,44.806047846601466,40.01055009243383
73.94818976704556,6,1,64.15637917254806,78.3850811530683
52.89496811376502,12,1,26.882170033628093,54.48181715717797
55.4702926238575,3,0,23.07868855275971,53.80618384514178
54.41532024424271,2,1,21.88572159546632,56.04777985156999
60.709920780673976,2,1,61.54050237934647,64.35251602751441
42.67082023241785,2,0,23.34564215715062,41.39069562544532
40.226488546983994,7,0,44.478014804451945,41.433283203393515
71.8508996987054,7,0,25.85732859350898,69.69537270774424
59.99283365244567,4,1,67.34309663449618,63.59240367159241
57.04521797949869,4,0,53.41953262186338,58.756574518883646
